source,subject,body,label,text
Apache_lists,Re: [VOTE] FLIP-451: Introduce timeout configuration to AsyncSink,"+1 (binding) Thanks Ahmed On Tue, May 14, 2024 at 11:51 AM David Radley <david_radley@uk.ibm.com> wrote: > Thanks for the clarification Ahmed > > +1 (non-binding) > > From: Ahmed Hamdy <hamdy10024@gmail.com> > Date: Monday, 13 May 2024 at 19:58 > To: dev@flink.apache.org <dev@flink.apache.org> > Subject: [EXTERNAL] Re: [VOTE] FLIP-451: Introduce timeout configuration > to AsyncSink > Thanks David, > I have replied to your question in the discussion thread. > Best Regards > Ahmed Hamdy > > > On Mon, 13 May 2024 at 16:21, David Radley <david_radley@uk.ibm.com> > wrote: > > > Hi, > > I raised a question on the discussion thread, around retriable errors, as > > a possible alternative, > > Kind regards, David. > > > > > > From: Aleksandr Pilipenko <z3d1kk@gmail.com> > > Date: Monday, 13 May 2024 at 16:07 > > To: dev@flink.apache.org <dev@flink.apache.org> > > Subject: [EXTERNAL] Re: [VOTE] FLIP-451: Introduce timeout configuration > > to AsyncSink > > Thanks for driving this! > > > > +1 (non-binding) > > > > Thanks, > > Aleksandr > > > > On Mon, 13 May 2024 at 14:08, <lorenzo.affetti@ververica.com.invalid> > > wrote: > > > > > Thanks Ahmed! > > > > > > +1 non binding > > > On May 13, 2024 at 12:40 +0200, Jeyhun Karimov <je.karimov@gmail.com>, > > > wrote: > > > > Thanks for driving this Ahmed. > > > > > > > > +1 (non-binding) > > > > > > > > Regards, > > > > Jeyhun > > > > > > > > On Mon, May 13, 2024 at 12:37 PM Muhammet Orazov > > > > <mor+flink@morazow.com.invalid> wrote: > > > > > > > > > Thanks Ahmed, +1 (non-binding) > > > > > > > > > > Best, > > > > > Muhammet > > > > > > > > > > On 2024-05-13 09:50, Ahmed Hamdy wrote: > > > > > > > Hi all, > > > > > > > > > > > > > > Thanks for the feedback on the discussion thread[1], I would > like > > > to > > > > > > > start > > > > > > > a vote on FLIP-451[2]: Introduce timeout configuration to > > AsyncSink > > > > > > > > > > > > > > The vote will be open for at least 72 hours unless there is an > > > > > > > objection or ",0,"Re: [VOTE] FLIP-451: Introduce timeout configuration to AsyncSink +1 (binding) Thanks Ahmed On Tue, May 14, 2024 at 11:51 AM David Radley <david_radley@uk.ibm.com> wrote: > Thanks for the clarification Ahmed > > +1 (non-binding) > > From: Ahmed Hamdy <hamdy10024@gmail.com> > Date: Monday, 13 May 2024 at 19:58 > To: dev@flink.apache.org <dev@flink.apache.org> > Subject: [EXTERNAL] Re: [VOTE] FLIP-451: Introduce timeout configuration > to AsyncSink > Thanks David, > I have replied to your question in the discussion thread. > Best Regards > Ahmed Hamdy > > > On Mon, 13 May 2024 at 16:21, David Radley <david_radley@uk.ibm.com> > wrote: > > > Hi, > > I raised a question on the discussion thread, around retriable errors, as > > a possible alternative, > > Kind regards, David. > > > > > > From: Aleksandr Pilipenko <z3d1kk@gmail.com> > > Date: Monday, 13 May 2024 at 16:07 > > To: dev@flink.apache.org <dev@flink.apache.org> > > Subject: [EXTERNAL] Re: [VOTE] FLIP-451: Introduce timeout configuration > > to AsyncSink > > Thanks for driving this! > > > > +1 (non-binding) > > > > Thanks, > > Aleksandr > > > > On Mon, 13 May 2024 at 14:08, <lorenzo.affetti@ververica.com.invalid> > > wrote: > > > > > Thanks Ahmed! > > > > > > +1 non binding > > > On May 13, 2024 at 12:40 +0200, Jeyhun Karimov <je.karimov@gmail.com>, > > > wrote: > > > > Thanks for driving this Ahmed. > > > > > > > > +1 (non-binding) > > > > > > > > Regards, > > > > Jeyhun > > > > > > > > On Mon, May 13, 2024 at 12:37 PM Muhammet Orazov > > > > <mor+flink@morazow.com.invalid> wrote: > > > > > > > > > Thanks Ahmed, +1 (non-binding) > > > > > > > > > > Best, > > > > > Muhammet > > > > > > > > > > On 2024-05-13 09:50, Ahmed Hamdy wrote: > > > > > > > Hi all, > > > > > > > > > > > > > > Thanks for the feedback on the discussion thread[1], I would > like > > > to > > > > > > > start > > > > > > > a vote on FLIP-451[2]: Introduce timeout configuration to > > AsyncSink > > > > > > > > > > > > > > The vote will be open for at least 72 hours unless there is an > > > > > > > objection or"
Apache_lists,Re: [VOTE] FLIP-456: CompiledPlan support for Batch Execution Mode,"+1 (binding) On Mon, Jul 1, 2024 at 7:00 PM Jim Hughes <jhughes@confluent.io.invalid> wrote: > Hi Alexey, > > +1 (non-binding) > > I'm looking forward to parity between streaming and batch bound for > compiled plans! > > Cheers, > > Jim > > On Mon, Jul 1, 2024 at 12:55 PM Alexey Leonov-Vendrovskiy < > vendrovsky@gmail.com> wrote: > > > Hello everyone, > > > > We had a good discussion of FLIP-456: CompiledPlan support for Batch > > Execution Mode [1]. Discussion thread is here: [2]. > > > > Let's start voting on it. The vote will be open for at least 72 > > hours unless there is an objection or insufficient votes. The FLIP will > be > > considered accepted if 3 binding votes (from active committers according > to > > the Flink bylaws [3]) are gathered by the community. > > > > Thanks, > > Alexey > > > > [1] > > > > > URL > > [2] URL > > [3] > > > > > URL > > < > > > URL > > > > > >",0,"Re: [VOTE] FLIP-456: CompiledPlan support for Batch Execution Mode +1 (binding) On Mon, Jul 1, 2024 at 7:00 PM Jim Hughes <jhughes@confluent.io.invalid> wrote: > Hi Alexey, > > +1 (non-binding) > > I'm looking forward to parity between streaming and batch bound for > compiled plans! > > Cheers, > > Jim > > On Mon, Jul 1, 2024 at 12:55 PM Alexey Leonov-Vendrovskiy < > vendrovsky@gmail.com> wrote: > > > Hello everyone, > > > > We had a good discussion of FLIP-456: CompiledPlan support for Batch > > Execution Mode [1]. Discussion thread is here: [2]. > > > > Let's start voting on it. The vote will be open for at least 72 > > hours unless there is an objection or insufficient votes. The FLIP will > be > > considered accepted if 3 binding votes (from active committers according > to > > the Flink bylaws [3]) are gathered by the community. > > > > Thanks, > > Alexey > > > > [1] > > > > > URL > > [2] URL > > [3] > > > > > URL > > < > > > URL > > > > > >"
Apache_lists,"Symlink instead of copy when downloading from ""file://"" repository","Hi Maven team, Is it possible to configure Maven to create symlinks instead of copying dependencies when ""downloading"" them from a repository with the `file://` protocol? Reason would be increasing performance and saving disk space. If there's not an out-of-the-box way to achieve this, any direction on how to do it with a custom plugin/extension/hack would be very much appreciated! Kind regards, and thanks in advance. Tiago Bento --------------------------------------------------------------------- To unsubscribe, e-mail: users-unsubscribe@maven.apache.org For additional commands, e-mail: users-help@maven.apache.org",0,"Symlink instead of copy when downloading from ""file://"" repository Hi Maven team, Is it possible to configure Maven to create symlinks instead of copying dependencies when ""downloading"" them from a repository with the `file://` protocol? Reason would be increasing performance and saving disk space. If there's not an out-of-the-box way to achieve this, any direction on how to do it with a custom plugin/extension/hack would be very much appreciated! Kind regards, and thanks in advance. Tiago Bento --------------------------------------------------------------------- To unsubscribe, e-mail: users-unsubscribe@maven.apache.org For additional commands, e-mail: users-help@maven.apache.org"
Apache_lists,"Re: [VOTE] Release flink-connector-hive, release candidate #1","Hi Hang thanks for checking yes, it could be packaged with jdk8, moreover jdk8 is checked in ci for instance here ci for the commit tagged with v3.0.0-rc1 [1] the strange thing in the output that you've provided is >org.apache.flink:flink-connector-hive_2.12:jar:3.0.0: Could not find > artifact jdk.tools:jdk.tools:jar:1.8 at specified path /Library/Internet > Plug-Ins/JavaAppletPlugin.plugin/Contents/Home/../lib/tools.jar there are no such dependencies in poms, could it happen that there is some specific configuration on the machine you used for that? Can you please check it on another setup? [1] URL On Thu, Jan 11, 2024 at 4:44 AM Hang Ruan <ruanhang1993@gmail.com> wrote: > Hi, Sergey Nuyanzin. > > Thanks for driving this. > > I try to package the source with jdk8 and it will cause an error as > follows. > > [INFO] > ------------------------------------------------------------------------ > [INFO] BUILD FAILURE > [INFO] > ------------------------------------------------------------------------ > [INFO] Total time: 4.621 s > [INFO] Finished at: 2024-01-11T11:34:30+08:00 > [INFO] > ------------------------------------------------------------------------ > [ERROR] Failed to execute goal on project flink-connector-hive_2.12: Could > not resolve dependencies for project > org.apache.flink:flink-connector-hive_2.12:jar:3.0.0: Could not find > artifact jdk.tools:jdk.tools:jar:1.8 at specified path /Library/Internet > Plug-Ins/JavaAppletPlugin.plugin/Contents/Home/../lib/tools.jar -> [Help 1] > [ERROR] > [ERROR] To see the full stack trace of the errors, re-run Maven with the -e > switch. > [ERROR] Re-run Maven using the -X switch to enable full debug logging. > [ERROR] > [ERROR] For more information about the errors and possible solutions, > please read the following articles: > [ERROR] [Help 1] > > URL > [ERROR] > [ERROR] After correcting the problems, you can resume the build with the > command > [ERROR] mvn <args> -rf :flink-connector-hive_2.12 > > I see that the 'Buil",0,"Re: [VOTE] Release flink-connector-hive, release candidate #1 Hi Hang thanks for checking yes, it could be packaged with jdk8, moreover jdk8 is checked in ci for instance here ci for the commit tagged with v3.0.0-rc1 [1] the strange thing in the output that you've provided is >org.apache.flink:flink-connector-hive_2.12:jar:3.0.0: Could not find > artifact jdk.tools:jdk.tools:jar:1.8 at specified path /Library/Internet > Plug-Ins/JavaAppletPlugin.plugin/Contents/Home/../lib/tools.jar there are no such dependencies in poms, could it happen that there is some specific configuration on the machine you used for that? Can you please check it on another setup? [1] URL On Thu, Jan 11, 2024 at 4:44 AM Hang Ruan <ruanhang1993@gmail.com> wrote: > Hi, Sergey Nuyanzin. > > Thanks for driving this. > > I try to package the source with jdk8 and it will cause an error as > follows. > > [INFO] > ------------------------------------------------------------------------ > [INFO] BUILD FAILURE > [INFO] > ------------------------------------------------------------------------ > [INFO] Total time: 4.621 s > [INFO] Finished at: 2024-01-11T11:34:30+08:00 > [INFO] > ------------------------------------------------------------------------ > [ERROR] Failed to execute goal on project flink-connector-hive_2.12: Could > not resolve dependencies for project > org.apache.flink:flink-connector-hive_2.12:jar:3.0.0: Could not find > artifact jdk.tools:jdk.tools:jar:1.8 at specified path /Library/Internet > Plug-Ins/JavaAppletPlugin.plugin/Contents/Home/../lib/tools.jar -> [Help 1] > [ERROR] > [ERROR] To see the full stack trace of the errors, re-run Maven with the -e > switch. > [ERROR] Re-run Maven using the -X switch to enable full debug logging. > [ERROR] > [ERROR] For more information about the errors and possible solutions, > please read the following articles: > [ERROR] [Help 1] > > URL > [ERROR] > [ERROR] After correcting the problems, you can resume the build with the > command > [ERROR] mvn <args> -rf :flink-connector-hive_2.12 > > I see that the 'Buil"
Apache_lists,Re: [VOTE] Release Maven PMD Plugin version 3.24.0,"+1 śr., 10 lip 2024, 21:22 użytkownik Michael Osipov <michaelo@apache.org> napisał: > Hi, > > we solved 3 issues: > > URL > > There are still a couple of issues left in JIRA: > > URL > > Staging repo: > URL > > URL > > Source release checksum(s): > maven-pmd-plugin-3.24.0-source-release.zip > sha512: > > 415fde303f06191ccaaae7a191dea28d5484a113895f826b89004b339977fe5bdf39d522c863c26236331f4b1fad54048d2be2c8aa506d5699ac3432a404b89a > > Staging site: > URL > > Guide to testing staged releases: > URL > > Vote open for 72 hours. > > [ ] +1 > [ ] +0 > [ ] -1 > > --------------------------------------------------------------------- > To unsubscribe, e-mail: dev-unsubscribe@maven.apache.org > For additional commands, e-mail: dev-help@maven.apache.org > >",0,"Re: [VOTE] Release Maven PMD Plugin version 3.24.0 +1 śr., 10 lip 2024, 21:22 użytkownik Michael Osipov <michaelo@apache.org> napisał: > Hi, > > we solved 3 issues: > > URL > > There are still a couple of issues left in JIRA: > > URL > > Staging repo: > URL > > URL > > Source release checksum(s): > maven-pmd-plugin-3.24.0-source-release.zip > sha512: > > 415fde303f06191ccaaae7a191dea28d5484a113895f826b89004b339977fe5bdf39d522c863c26236331f4b1fad54048d2be2c8aa506d5699ac3432a404b89a > > Staging site: > URL > > Guide to testing staged releases: > URL > > Vote open for 72 hours. > > [ ] +1 > [ ] +0 > [ ] -1 > > --------------------------------------------------------------------- > To unsubscribe, e-mail: dev-unsubscribe@maven.apache.org > For additional commands, e-mail: dev-help@maven.apache.org > >"
Apache_lists,Re: [DISCUSS] FLIP-435: Introduce a New Dynamic Table for Simplifying Data Pipelines,"Hi, Timo Sorry for later response, thanks for your feedback. Regarding your questions: > Flink has introduced the concept of Dynamic Tables many years ago. How does the term ""Dynamic Table"" fit into Flink's regular tables and also how does it relate to Table API? > I fear that adding the DYNAMIC TABLE keyword could cause confusion for > users, because a term for regular CREATE TABLE (that can be ""kind of > dynamic"" as well and is backed by a changelog) is then missing. Also > given that we call our connectors for those tables, DynamicTableSource > and DynamicTableSink. > In general, I find it contradicting that a TABLE can be ""paused"" or > ""resumed"". From an English language perspective, this does sound > incorrect. In my opinion (without much research yet), a continuous > updating trigger should rather be modelled as a CREATE MATERIALIZED VIEW > (which users are familiar with?) or a new concept such as a CREATE TASK > (that can be paused and resumed?). 1. In the current concept[1], it actually includes: Dynamic Tables & Continuous Query. Dynamic Table is just an abstract logical concept , which in its physical form represents either a table or a changelog stream. It requires the combination with Continuous Query to achieve dynamic updates of the target table similar to a database’s Materialized View. We hope to upgrade the Dynamic Table to a real entity that users can operate, which combines the logical concepts of Dynamic Tables + Continuous Query. By integrating the definition of tables and queries, it can achieve functions similar to Materialized Views, simplifying users' data processing pipelines. So, the object of the suspend operation is the refresh task of the dynamic table. The command `ALTER DYNAMIC TABLE table_name SUSPEND ` is actually a shorthand for `ALTER DYNAMIC TABLE table_name SUSPEND REFRESH` (if written in full for clarity, we can also modify it). 2. Initially, we also considered Materialized Views , but ultimately decided against them. Materiali",0,"Re: [DISCUSS] FLIP-435: Introduce a New Dynamic Table for Simplifying Data Pipelines Hi, Timo Sorry for later response, thanks for your feedback. Regarding your questions: > Flink has introduced the concept of Dynamic Tables many years ago. How does the term ""Dynamic Table"" fit into Flink's regular tables and also how does it relate to Table API? > I fear that adding the DYNAMIC TABLE keyword could cause confusion for > users, because a term for regular CREATE TABLE (that can be ""kind of > dynamic"" as well and is backed by a changelog) is then missing. Also > given that we call our connectors for those tables, DynamicTableSource > and DynamicTableSink. > In general, I find it contradicting that a TABLE can be ""paused"" or > ""resumed"". From an English language perspective, this does sound > incorrect. In my opinion (without much research yet), a continuous > updating trigger should rather be modelled as a CREATE MATERIALIZED VIEW > (which users are familiar with?) or a new concept such as a CREATE TASK > (that can be paused and resumed?). 1. In the current concept[1], it actually includes: Dynamic Tables & Continuous Query. Dynamic Table is just an abstract logical concept , which in its physical form represents either a table or a changelog stream. It requires the combination with Continuous Query to achieve dynamic updates of the target table similar to a database’s Materialized View. We hope to upgrade the Dynamic Table to a real entity that users can operate, which combines the logical concepts of Dynamic Tables + Continuous Query. By integrating the definition of tables and queries, it can achieve functions similar to Materialized Views, simplifying users' data processing pipelines. So, the object of the suspend operation is the refresh task of the dynamic table. The command `ALTER DYNAMIC TABLE table_name SUSPEND ` is actually a shorthand for `ALTER DYNAMIC TABLE table_name SUSPEND REFRESH` (if written in full for clarity, we can also modify it). 2. Initially, we also considered Materialized Views , but ultimately decided against them. Materiali"
Apache_lists,[jira] [Created] (FLINK-35303) Support logical deletion of datax,"melin created FLINK-35303: ----------------------------- Summary: Support logical deletion of datax Key: FLINK-35303 URL: URL Project: Flink Issue Type: New Feature Components: Flink CDC Reporter: melin delete event is logical deletion. Add a field to the table. For example: is_delete, the default is false, if it is a delete event, is_delete is set to true。 -- This message was sent by Atlassian Jira (v8.20.10#820010)",0,"[jira] [Created] (FLINK-35303) Support logical deletion of datax melin created FLINK-35303: ----------------------------- Summary: Support logical deletion of datax Key: FLINK-35303 URL: URL Project: Flink Issue Type: New Feature Components: Flink CDC Reporter: melin delete event is logical deletion. Add a field to the table. For example: is_delete, the default is false, if it is a delete event, is_delete is set to true。 -- This message was sent by Atlassian Jira (v8.20.10#820010)"
Apache_lists,"Re: [VOTE] Release flink-connector-jdbc, release candidate #1","The blocker issue [1] was fixed huge thanks to David Radley and Benchao Li for working on this [1] URL On Sun, Jan 7, 2024 at 4:54 PM David Radley <david_radley@uk.ibm.com> wrote: > Hi , > I am working on FLINK-33365. I am making good progress; thanks Sergey for > your fabulous feedback. A lot of the query cases are now working with the > latest fix but not all. I think it is pragmatic to revert the lookup join > predicate pushdown support, so we can release a functional JDBC connector. > I can then work on fixing the remaining FLINK-33365 query cases, which > should not take too long, but I am out until Thursday this week so will be > looking at it then, > Kind regards, David. > > > From: Martijn Visser <martijnvisser@apache.org> > Date: Friday, 5 January 2024 at 14:24 > To: dev@flink.apache.org <dev@flink.apache.org> > Subject: [EXTERNAL] Re: [VOTE] Release flink-connector-jdbc, release > candidate #1 > Hi, > > Hmmm, it would have been good to mark the Jira ticket as a Blocker > then for the JDBC connector. Since it's marked as Critical, it doesn't > appear. It has also been open for multiple months, so it doesn't > really feel like a Blocker. I'm +0 with including this fix, but then > we should either get that in quickly or revert FLINK-16024, especially > since this bug ticket has been open for multiple months. Right now, it > means that we don't have a working JDBC connector for Flink 1.17 and > Flink 1.18. That shouldn't be OK. > > Thanks, > > Martijn > > On Fri, Jan 5, 2024 at 2:31 PM Sergey Nuyanzin <snuyanzin@gmail.com> > wrote: > > > > Thanks for driving this > > > > the thing which makes me thinking about -1 (not sure yet and that's why > > asking here) is that there is FLINK-33365 [1] > > mentioned as a blocker for JDBC connector release at [2] > > Since the reason for that is FLINK-16024 [3] as also was explained in > > comments for [1]. > > > > So should we wait for a fix of [1] or revert [3] for 3.1.x and continue > > releasing 3.1.2? > > > > > > [1] ",0,"Re: [VOTE] Release flink-connector-jdbc, release candidate #1 The blocker issue [1] was fixed huge thanks to David Radley and Benchao Li for working on this [1] URL On Sun, Jan 7, 2024 at 4:54 PM David Radley <david_radley@uk.ibm.com> wrote: > Hi , > I am working on FLINK-33365. I am making good progress; thanks Sergey for > your fabulous feedback. A lot of the query cases are now working with the > latest fix but not all. I think it is pragmatic to revert the lookup join > predicate pushdown support, so we can release a functional JDBC connector. > I can then work on fixing the remaining FLINK-33365 query cases, which > should not take too long, but I am out until Thursday this week so will be > looking at it then, > Kind regards, David. > > > From: Martijn Visser <martijnvisser@apache.org> > Date: Friday, 5 January 2024 at 14:24 > To: dev@flink.apache.org <dev@flink.apache.org> > Subject: [EXTERNAL] Re: [VOTE] Release flink-connector-jdbc, release > candidate #1 > Hi, > > Hmmm, it would have been good to mark the Jira ticket as a Blocker > then for the JDBC connector. Since it's marked as Critical, it doesn't > appear. It has also been open for multiple months, so it doesn't > really feel like a Blocker. I'm +0 with including this fix, but then > we should either get that in quickly or revert FLINK-16024, especially > since this bug ticket has been open for multiple months. Right now, it > means that we don't have a working JDBC connector for Flink 1.17 and > Flink 1.18. That shouldn't be OK. > > Thanks, > > Martijn > > On Fri, Jan 5, 2024 at 2:31 PM Sergey Nuyanzin <snuyanzin@gmail.com> > wrote: > > > > Thanks for driving this > > > > the thing which makes me thinking about -1 (not sure yet and that's why > > asking here) is that there is FLINK-33365 [1] > > mentioned as a blocker for JDBC connector release at [2] > > Since the reason for that is FLINK-16024 [3] as also was explained in > > comments for [1]. > > > > So should we wait for a fix of [1] or revert [3] for 3.1.x and continue > > releasing 3.1.2? > > > > > > [1]"
Apache_lists,[jira] [Created] (FLINK-34628) Pulsar source lost topic subscribe,"WangMinChao created FLINK-34628: ----------------------------------- Summary: Pulsar source lost topic subscribe Key: FLINK-34628 URL: URL Project: Flink Issue Type: Bug Components: Connectors / Pulsar Affects Versions: pulsar-3.0.1 Reporter: WangMinChao The non-partition pulsar topic partition id is `-1`, using multiples of the non-partition topics in Pulsar source maybe lose topic subscribe. -- This message was sent by Atlassian Jira (v8.20.10#820010)",0,"[jira] [Created] (FLINK-34628) Pulsar source lost topic subscribe WangMinChao created FLINK-34628: ----------------------------------- Summary: Pulsar source lost topic subscribe Key: FLINK-34628 URL: URL Project: Flink Issue Type: Bug Components: Connectors / Pulsar Affects Versions: pulsar-3.0.1 Reporter: WangMinChao The non-partition pulsar topic partition id is `-1`, using multiples of the non-partition topics in Pulsar source maybe lose topic subscribe. -- This message was sent by Atlassian Jira (v8.20.10#820010)"
Apache_lists,[jira] [Created] (FLINK-34108) Add URL_ENCODE and URL_DECODE function,Martijn Visser created FLINK-34108: -------------------------------------- Summary: Add URL_ENCODE and URL_DECODE function Key: FLINK-34108 URL: URL Project: Flink Issue Type: New Feature Components: Table SQL / API Reporter: Martijn Visser Add URL_ENCODE and URL_DECODE function URL_ENCODE(str) - Translates a string into 'application/x-www-form-urlencoded' format using a specific encoding scheme. URL_DECODE(str) - Decodes a string in 'application/x-www-form-urlencoded' format using a specific encoding scheme. Related ticket from Calcite: CALCITE-5825 -- This message was sent by Atlassian Jira (v8.20.10#820010),0,[jira] [Created] (FLINK-34108) Add URL_ENCODE and URL_DECODE function Martijn Visser created FLINK-34108: -------------------------------------- Summary: Add URL_ENCODE and URL_DECODE function Key: FLINK-34108 URL: URL Project: Flink Issue Type: New Feature Components: Table SQL / API Reporter: Martijn Visser Add URL_ENCODE and URL_DECODE function URL_ENCODE(str) - Translates a string into 'application/x-www-form-urlencoded' format using a specific encoding scheme. URL_DECODE(str) - Decodes a string in 'application/x-www-form-urlencoded' format using a specific encoding scheme. Related ticket from Calcite: CALCITE-5825 -- This message was sent by Atlassian Jira (v8.20.10#820010)
