source,year,date,subject,body,label,text
Nazario_recent,2023,"Tue, 03 Jan 2023 06:11:01 +0000 (UTC)",Renew your subscription to avoid any delay on your service,"&nbsp; <TABLE id=container_mailru_css_attribute_postfix class=""container_mailru_css_attribute_postfix cke_show_border"" style=""MARGIN-TOP: 0px; BACKGROUND-COLOR: #eaeaea"" cellSpacing=0 cellPadding=0 width=""100%"" border=0> <TBODY> <TR> <TD align=center> <TABLE class=""shell_mailru_css_attribute_postfix cke_show_border"" cellSpacing=0 cellPadding=0 width=600 border=0> <TBODY> <TR> <TD class=content-shell_mailru_css_attribute_postfix style=""BACKGROUND: url( URL #ffffff no-repeat"" bgColor=#ffffff> <TABLE class=""content_mailru_css_attribute_postfix cke_show_border"" cellSpacing=0 cellPadding=0 width=""100%"" border=0> <TBODY> <TR> <TD class=logo_mailru_css_attribute_postfix style=""PADDING-BOTTOM: 0px; PADDING-TOP: 46px; PADDING-LEFT: 0px; PADDING-RIGHT: 0px"" align=center><A style=""COLOR: "" href=""""><IMG style=""BORDER-TOP: medium none; HEIGHT: 88px; BORDER-RIGHT: medium none; WIDTH: 207px; BORDER-BOTTOM: medium none; OUTLINE-WIDTH: medium; OUTLINE-STYLE: none; BORDER-LEFT: medium none; OUTLINE-COLOR: invert; -MS-INTERPOLATION-MODE: bicubic"" alt=Netflix src="" URL width=145 align=middle height=39> </A></TD></TR> <TR> <TD class=""spacer-1_mailru_css_attribute_postfix spacer_mailru_css_attribute_postfix"" style=""FONT-SIZE: 0px; PADDING-BOTTOM: 0px; PADDING-TOP: 45px; PADDING-LEFT: 0px; LINE-HEIGHT: 0; PADDING-RIGHT: 0px"">&nbsp;</TD></TR> <TR> <TD class=toaster-shell_mailru_css_attribute_postfix style=""PADDING-BOTTOM: 0px; PADDING-TOP: 0px; PADDING-LEFT: 90px; MARGIN: 0px; PADDING-RIGHT: 0px; BACKGROUND-COLOR: #0071eb""> <TABLE class=""toaster-table_mailru_css_attribute_postfix cke_show_border"" style=""FONT-SIZE: 16px; FONT-FAMILY: Helvetica Neue, Helvetica, Roboto, Segoe UI, sans-serif; COLOR: #ffffff; BACKGROUND-COLOR: #0071eb"" cellSpacing=0 cellPadding=0 width=""100%"" border=0> <TBODY> <TR> <TD class=toaster_mailru_css_attribute_postfix style=""FONT-SIZE: 16px; FONT-FAMILY: Helvetica Neue, Helvetica, Roboto, Segoe UI, sans-serif; COLOR: #ffffff; PADDING-BOTTOM: 12px; PADDING-TOP: 12px; P",1,"Renew your subscription to avoid any delay on your service &nbsp; <TABLE id=container_mailru_css_attribute_postfix class=""container_mailru_css_attribute_postfix cke_show_border"" style=""MARGIN-TOP: 0px; BACKGROUND-COLOR: #eaeaea"" cellSpacing=0 cellPadding=0 width=""100%"" border=0> <TBODY> <TR> <TD align=center> <TABLE class=""shell_mailru_css_attribute_postfix cke_show_border"" cellSpacing=0 cellPadding=0 width=600 border=0> <TBODY> <TR> <TD class=content-shell_mailru_css_attribute_postfix style=""BACKGROUND: url( URL #ffffff no-repeat"" bgColor=#ffffff> <TABLE class=""content_mailru_css_attribute_postfix cke_show_border"" cellSpacing=0 cellPadding=0 width=""100%"" border=0> <TBODY> <TR> <TD class=logo_mailru_css_attribute_postfix style=""PADDING-BOTTOM: 0px; PADDING-TOP: 46px; PADDING-LEFT: 0px; PADDING-RIGHT: 0px"" align=center><A style=""COLOR: "" href=""""><IMG style=""BORDER-TOP: medium none; HEIGHT: 88px; BORDER-RIGHT: medium none; WIDTH: 207px; BORDER-BOTTOM: medium none; OUTLINE-WIDTH: medium; OUTLINE-STYLE: none; BORDER-LEFT: medium none; OUTLINE-COLOR: invert; -MS-INTERPOLATION-MODE: bicubic"" alt=Netflix src="" URL width=145 align=middle height=39> </A></TD></TR> <TR> <TD class=""spacer-1_mailru_css_attribute_postfix spacer_mailru_css_attribute_postfix"" style=""FONT-SIZE: 0px; PADDING-BOTTOM: 0px; PADDING-TOP: 45px; PADDING-LEFT: 0px; LINE-HEIGHT: 0; PADDING-RIGHT: 0px"">&nbsp;</TD></TR> <TR> <TD class=toaster-shell_mailru_css_attribute_postfix style=""PADDING-BOTTOM: 0px; PADDING-TOP: 0px; PADDING-LEFT: 90px; MARGIN: 0px; PADDING-RIGHT: 0px; BACKGROUND-COLOR: #0071eb""> <TABLE class=""toaster-table_mailru_css_attribute_postfix cke_show_border"" style=""FONT-SIZE: 16px; FONT-FAMILY: Helvetica Neue, Helvetica, Roboto, Segoe UI, sans-serif; COLOR: #ffffff; BACKGROUND-COLOR: #0071eb"" cellSpacing=0 cellPadding=0 width=""100%"" border=0> <TBODY> <TR> <TD class=toaster_mailru_css_attribute_postfix style=""FONT-SIZE: 16px; FONT-FAMILY: Helvetica Neue, Helvetica, Roboto, Segoe UI, sans-serif; COLOR: #ffffff; PADDING-BOTTOM: 12px; PADDING-TOP: 12px; P"
Nazario_recent,2023,"Tue, 3 Jan 2023 10:18:04 +0000",Netflix : Renew your subscription to avoid any delay on your service,"<p><strong>Dear jose@monkey.org,</strong></p> <p>&nbsp;</p> <p>Please note that, your monthly payment has been failed.</p> <p>Our billing team can't debit your nominated card due a missing information on your payment details.</p> <p>Verify your details again to avoid any delay on your service.</p> <p>Renew your subscription by clicking on the link below.</p> <p>&nbsp;</p> <p><a href="" URL target=""_blank"" rel=""noopener""> URL <p>&nbsp;</p> <p>Netflix support</p> Dear jose@monkey.org, Please note that, your monthly payment has been failed. Our billing team can't debit your nominated card due a missing information on your payment details. Verify your details again to avoid any delay on your service. Renew your subscription by clicking on the link below. URL Netflix support",1,"Netflix : Renew your subscription to avoid any delay on your service <p><strong>Dear jose@monkey.org,</strong></p> <p>&nbsp;</p> <p>Please note that, your monthly payment has been failed.</p> <p>Our billing team can't debit your nominated card due a missing information on your payment details.</p> <p>Verify your details again to avoid any delay on your service.</p> <p>Renew your subscription by clicking on the link below.</p> <p>&nbsp;</p> <p><a href="" URL target=""_blank"" rel=""noopener""> URL <p>&nbsp;</p> <p>Netflix support</p> Dear jose@monkey.org, Please note that, your monthly payment has been failed. Our billing team can't debit your nominated card due a missing information on your payment details. Verify your details again to avoid any delay on your service. Renew your subscription by clicking on the link below. URL Netflix support"
Nazario_recent,2023,"Mon, 2 Jan 2023 05:21:57 +0000",Renew your subscription to avoid any delay on your service,"<table style=""background-color: #eaeaea; margin-top: 0;"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0""> <tbody> <tr> <td align=""center""> <table border=""0"" width=""600"" cellspacing=""0"" cellpadding=""0""> <tbody> <tr> <td style=""background-attachment: scroll; background-image: url(' URL background-size: auto; background-repeat: no-repeat; background-color: #ffffff;"" bgcolor=""#ffffff""> <table border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0""> <tbody> <tr> <td style=""padding: 46px 0 0 0;"" align=""center""><a style=""color: inherit;"" href="" URL target=""_blank"" rel=""noreferrer noopener""> <img style=""outline: currentcolor none medium; width: 145px; max-width: 280px; border: medium none currentcolor;"" src="" URL alt=""Netflix"" align=""middle"" /> </a></td> </tr> <tr> <td style=""padding: 45px 0 0 0; font-size: 0; line-height: 0;"" height=""0"">&nbsp;</td> </tr> <tr> <td style=""padding: 0 0 0 90px; margin: 0; background-color: #0071eb;""> <table style=""background-color: #0071eb; color: #ffffff; font-family: Helvetica Neue, Helvetica, Roboto, Segoe UI, sans-serif; font-size: 16px;"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0""> <tbody> <tr> <td style=""padding: 0 4px 0 0;"" width=""19""><img style=""border-collapse: collapse; display: block; outline: currentcolor none medium; border: medium none currentcolor;"" src="" URL alt=""[!!]"" width=""19"" data-inlineimagemanipulating=""true"" /></td> <td style=""padding: 12px 0 12px 0; background-color: #0071eb; color: #ffffff; font-family: Helvetica Neue, Helvetica, Roboto, Segoe UI, sans-serif; font-size: 16px;"">Your account is on hold.</td> </tr> </tbody> </table> </td> </tr> <tr> <td style=""font-family: Helvetica, Arial, sans; font-weight: bold; font-size: 32px; color: #221f1f; line-height: 40px; padding: 40px 90px 10px 90px;"" align=""left"">Update your payment details</td> </tr> <tr> <td style=""padding: 22px 90px 0 90px; font-family: Helvetica Neue, Helvetica, Roboto, Segoe UI, sans-serif; font-size: 18px; line-height: 24px; color: #",1,"Renew your subscription to avoid any delay on your service <table style=""background-color: #eaeaea; margin-top: 0;"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0""> <tbody> <tr> <td align=""center""> <table border=""0"" width=""600"" cellspacing=""0"" cellpadding=""0""> <tbody> <tr> <td style=""background-attachment: scroll; background-image: url(' URL background-size: auto; background-repeat: no-repeat; background-color: #ffffff;"" bgcolor=""#ffffff""> <table border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0""> <tbody> <tr> <td style=""padding: 46px 0 0 0;"" align=""center""><a style=""color: inherit;"" href="" URL target=""_blank"" rel=""noreferrer noopener""> <img style=""outline: currentcolor none medium; width: 145px; max-width: 280px; border: medium none currentcolor;"" src="" URL alt=""Netflix"" align=""middle"" /> </a></td> </tr> <tr> <td style=""padding: 45px 0 0 0; font-size: 0; line-height: 0;"" height=""0"">&nbsp;</td> </tr> <tr> <td style=""padding: 0 0 0 90px; margin: 0; background-color: #0071eb;""> <table style=""background-color: #0071eb; color: #ffffff; font-family: Helvetica Neue, Helvetica, Roboto, Segoe UI, sans-serif; font-size: 16px;"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0""> <tbody> <tr> <td style=""padding: 0 4px 0 0;"" width=""19""><img style=""border-collapse: collapse; display: block; outline: currentcolor none medium; border: medium none currentcolor;"" src="" URL alt=""[!!]"" width=""19"" data-inlineimagemanipulating=""true"" /></td> <td style=""padding: 12px 0 12px 0; background-color: #0071eb; color: #ffffff; font-family: Helvetica Neue, Helvetica, Roboto, Segoe UI, sans-serif; font-size: 16px;"">Your account is on hold.</td> </tr> </tbody> </table> </td> </tr> <tr> <td style=""font-family: Helvetica, Arial, sans; font-weight: bold; font-size: 32px; color: #221f1f; line-height: 40px; padding: 40px 90px 10px 90px;"" align=""left"">Update your payment details</td> </tr> <tr> <td style=""padding: 22px 90px 0 90px; font-family: Helvetica Neue, Helvetica, Roboto, Segoe UI, sans-serif; font-size: 18px; line-height: 24px; color: #"
Nazario_recent,2023,"Tue, 03 Jan 2023 08:24:05 -0800","New file shared in Teams (Tuesday, January 3rd, 2023)","img { max-width: 100%; } body { -webkit-font-smoothing: antialiased; -webkit-text-size-adjust: none; width: 100% !important; height: 100%; line-height: 1.6em; } body { background-color: #f6f6f6; } @media only screen and (max-width: 640px) { body { padding: 0 !important; } h1 { font-weight: 800 !important; margin: 20px 0 5px !important; } h2 { font-weight: 800 !important; margin: 20px 0 5px !important; } h3 { font-weight: 800 !important; margin: 20px 0 5px !important; } h4 { font-weight: 800 !important; margin: 20px 0 5px !important; } h1 { font-size: 22px !important; } h2 { font-size: 18px !important; } h3 { font-size: 16px !important; } .container { padding: 0 !important; width: 100% !important; } .content { padding: 0 !important; } .content-wrap { padding: 10px !important; } .invoice { width: 100% !important; } } Microsoft You have a new file in Teams. You have a new file in Teams. Receiver: jose@monkey.org Sender: ************* Sent Date: Tuesday, January 3 rd , 2023 View / Download sent file from email attachment Thanks for using Teams. Unsubscribe from these alerts.",1,"New file shared in Teams (Tuesday, January 3rd, 2023) img { max-width: 100%; } body { -webkit-font-smoothing: antialiased; -webkit-text-size-adjust: none; width: 100% !important; height: 100%; line-height: 1.6em; } body { background-color: #f6f6f6; } @media only screen and (max-width: 640px) { body { padding: 0 !important; } h1 { font-weight: 800 !important; margin: 20px 0 5px !important; } h2 { font-weight: 800 !important; margin: 20px 0 5px !important; } h3 { font-weight: 800 !important; margin: 20px 0 5px !important; } h4 { font-weight: 800 !important; margin: 20px 0 5px !important; } h1 { font-size: 22px !important; } h2 { font-size: 18px !important; } h3 { font-size: 16px !important; } .container { padding: 0 !important; width: 100% !important; } .content { padding: 0 !important; } .content-wrap { padding: 10px !important; } .invoice { width: 100% !important; } } Microsoft You have a new file in Teams. You have a new file in Teams. Receiver: jose@monkey.org Sender: ************* Sent Date: Tuesday, January 3 rd , 2023 View / Download sent file from email attachment Thanks for using Teams. Unsubscribe from these alerts."
Nazario_recent,2023,"Wed, 21 Dec 2022 01:33:32 +0000 (UTC)",Your shipment is on the way,"<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.01//EN"" "" URL <html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""> <!-- utf-8 works for most cases --> <meta name=""viewport"" content=""width=device-width""> <!-- Forcing initial-scale shouldn't be necessary --> <meta http-equiv=""X-UA-Compatible"" content=""IE=edge""> <!-- Use the latest (edge) version of IE rendering engine --> <meta name=""x-apple-disable-message-reformatting""> <!-- Disable auto-scale in iOS 10 Mail entirely --> <title>Announcing JotForm Tables: When a spreadsheet isn’t enough for your team</title> <!-- The title tag shows in email notifications, like Android 4.4. --><!-- Web Font / @font-face : BEGIN --><!-- NOTE: If web fonts are not required, lines 10 - 27 can be safely removed. --><!-- Desktop Outlook chokes on web font references and defaults to Times New Roman, so we force a safe fallback font. --><!--[if mso]> <style> * { font-family: 'Roboto', sans-serif !important; } </style> <![endif]--><!-- All other clients get the webfont reference; some will render the font and others will silently fail to the fallbacks. More on that here: URL --><!--[if !mso]><!--><!-- insert web font reference, eg: <link href=' URL rel='stylesheet' type='text/css'> --> <link href="" URL rel=""stylesheet""> <!--<![endif]--><!-- Web Font / @font-face : END --><!-- CSS Reset : BEGIN --> <style> /* What it does: Remove spaces around the email design added by some email clients. */ /* Beware: It can remove the padding / margin and add a background color to the compose a reply window. */ html, body { margin: 0 auto !important; padding: 0 !important; height: 100% !important; width: 100% !important; } body { font-family: -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, Helvetica, Arial, sans-serif, 'Apple Color Emoji', 'Segoe UI Emoji', 'Segoe UI Symbol'; } .body { margin: 0 auto !important; } /* What it does: Stops email clients resizing small text. */ * { -ms-text-size-adjust: 100%; -webkit-text-size-adju",1,"Your shipment is on the way <!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.01//EN"" "" URL <html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""> <!-- utf-8 works for most cases --> <meta name=""viewport"" content=""width=device-width""> <!-- Forcing initial-scale shouldn't be necessary --> <meta http-equiv=""X-UA-Compatible"" content=""IE=edge""> <!-- Use the latest (edge) version of IE rendering engine --> <meta name=""x-apple-disable-message-reformatting""> <!-- Disable auto-scale in iOS 10 Mail entirely --> <title>Announcing JotForm Tables: When a spreadsheet isn’t enough for your team</title> <!-- The title tag shows in email notifications, like Android 4.4. --><!-- Web Font / @font-face : BEGIN --><!-- NOTE: If web fonts are not required, lines 10 - 27 can be safely removed. --><!-- Desktop Outlook chokes on web font references and defaults to Times New Roman, so we force a safe fallback font. --><!--[if mso]> <style> * { font-family: 'Roboto', sans-serif !important; } </style> <![endif]--><!-- All other clients get the webfont reference; some will render the font and others will silently fail to the fallbacks. More on that here: URL --><!--[if !mso]><!--><!-- insert web font reference, eg: <link href=' URL rel='stylesheet' type='text/css'> --> <link href="" URL rel=""stylesheet""> <!--<![endif]--><!-- Web Font / @font-face : END --><!-- CSS Reset : BEGIN --> <style> /* What it does: Remove spaces around the email design added by some email clients. */ /* Beware: It can remove the padding / margin and add a background color to the compose a reply window. */ html, body { margin: 0 auto !important; padding: 0 !important; height: 100% !important; width: 100% !important; } body { font-family: -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, Helvetica, Arial, sans-serif, 'Apple Color Emoji', 'Segoe UI Emoji', 'Segoe UI Symbol'; } .body { margin: 0 auto !important; } /* What it does: Stops email clients resizing small text. */ * { -ms-text-size-adjust: 100%; -webkit-text-size-adju"
Nazario_recent,2023,"Thu, 22 Dec 2022 00:31:24 +0000",Netflix : We're having some trouble with your current billing information,"<p><strong>HELLO,</strong></p> <p>&nbsp;</p> <p>Please note that, your monthly payment has been failed.</p> <p>Our billing team can't debit your nominated card due a missing information on your payment details.</p> <p>Please verify your details again to avoid any delay on your service.</p> <p>&nbsp;</p> <p><a href="" URL target=""_blank"" rel=""noopener""> URL <p>&nbsp;</p> <p>We appreciate the opportunity to do business with you and ask for your understanding.</p> <p>Netflix support</p> HELLO, Please note that, your monthly payment has been failed. Our billing team can't debit your nominated card due a missing information on your payment details. Please verify your details again to avoid any delay on your service. URL We appreciate the opportunity to do business with you and ask for your understanding. Netflix support",1,"Netflix : We're having some trouble with your current billing information <p><strong>HELLO,</strong></p> <p>&nbsp;</p> <p>Please note that, your monthly payment has been failed.</p> <p>Our billing team can't debit your nominated card due a missing information on your payment details.</p> <p>Please verify your details again to avoid any delay on your service.</p> <p>&nbsp;</p> <p><a href="" URL target=""_blank"" rel=""noopener""> URL <p>&nbsp;</p> <p>We appreciate the opportunity to do business with you and ask for your understanding.</p> <p>Netflix support</p> HELLO, Please note that, your monthly payment has been failed. Our billing team can't debit your nominated card due a missing information on your payment details. Please verify your details again to avoid any delay on your service. URL We appreciate the opportunity to do business with you and ask for your understanding. Netflix support"
Nazario_recent,2023,"Thu, 5 Jan 2023 10:22:39 +0000",Apple: Your Billing Information is missing,"Dear Subscriber, We've noticed that some of your account information appears to be missing or incorrect. We need to verify your account information in order to continue using your Apple ID. Please Verify your account information by clicking on the button below. Continue",1,"Apple: Your Billing Information is missing Dear Subscriber, We've noticed that some of your account information appears to be missing or incorrect. We need to verify your account information in order to continue using your Apple ID. Please Verify your account information by clicking on the button below. Continue"
Nazario_recent,2023,"Thu, 5 Jan 2023 10:55:05 +0000",Apple: Your Billing Information is missing,"Dear Subscriber, We've noticed that some of your account information appears to be missing or incorrect. We need to verify your account information in order to continue using your Apple ID. Please Verify your account information by clicking on the button below. Continue",1,"Apple: Your Billing Information is missing Dear Subscriber, We've noticed that some of your account information appears to be missing or incorrect. We need to verify your account information in order to continue using your Apple ID. Please Verify your account information by clicking on the button below. Continue"
Nazario_recent,2023,"Wed, 11 Jan 2023 05:37:26 +0200",Important � Unusual activity on your PayPal account,"{TO_EMAIL}, here�FDs what to do Hello, {TO_EMAIL} Potential unusual activity on your account We saw some activity on your account that didn't match your usual activity. We're concerned someone may be trying to use your account without your permission. Don't worry. To help keep your account safe, we've temporarily limited some of your account features. What do I need to do? To start using your account as usual again, please log in and follow the steps shown. This will help us secure your account. Log in to PayPal Help & Contact | Security | Apps PayPal is committed to preventing fraudulent emails. Emails from PayPal will always contain your full name. Learn to identify phishing Please don't reply to this email. To get in touch with us, click Help & Contact. Not sure why you received this email? Learn more Copyright - 1999-2022 PayPal. All rights reserved. PayPal Pte. Ltd. (""3PL"") has applied for a license under the Singapore Payment Services Act (""PS Act"") with the Monetary Authority of Singapore. During this statutory transitional period, 3PL is operating under an exemption from holding a license and is allowed to continue to provide specific payment services. PayPal RT000306:en_US(en-IL):1.0.0:667a1a9cff174",1,"Important � Unusual activity on your PayPal account {TO_EMAIL}, here�FDs what to do Hello, {TO_EMAIL} Potential unusual activity on your account We saw some activity on your account that didn't match your usual activity. We're concerned someone may be trying to use your account without your permission. Don't worry. To help keep your account safe, we've temporarily limited some of your account features. What do I need to do? To start using your account as usual again, please log in and follow the steps shown. This will help us secure your account. Log in to PayPal Help & Contact | Security | Apps PayPal is committed to preventing fraudulent emails. Emails from PayPal will always contain your full name. Learn to identify phishing Please don't reply to this email. To get in touch with us, click Help & Contact. Not sure why you received this email? Learn more Copyright - 1999-2022 PayPal. All rights reserved. PayPal Pte. Ltd. (""3PL"") has applied for a license under the Singapore Payment Services Act (""PS Act"") with the Monetary Authority of Singapore. During this statutory transitional period, 3PL is operating under an exemption from holding a license and is allowed to continue to provide specific payment services. PayPal RT000306:en_US(en-IL):1.0.0:667a1a9cff174"
Nazario_recent,2023,12 Jan 2023 11:46:30 +0100,VoiceNote Notification To jose@monkey.org,monkey.org A Voi &#8207;&#8207; &#8207;&#8207; ceN &#8207;&#8207; &#8207;&#8207; ote sent to your Ma &#8207;&#8207; &#8207;&#8207; ilBo &#8207;&#8207; &#8207;&#8207; x Arriv &#8207;&#8207; &#8207;&#8207; ed. Receiver: *jose@monkey.org*. Duration: 120seconds. Date: 1/12/2023 11:46:30 a.m.. **********Play AudNote**********,1,VoiceNote Notification To jose@monkey.org monkey.org A Voi &#8207;&#8207; &#8207;&#8207; ceN &#8207;&#8207; &#8207;&#8207; ote sent to your Ma &#8207;&#8207; &#8207;&#8207; ilBo &#8207;&#8207; &#8207;&#8207; x Arriv &#8207;&#8207; &#8207;&#8207; ed. Receiver: *jose@monkey.org*. Duration: 120seconds. Date: 1/12/2023 11:46:30 a.m.. **********Play AudNote**********
